,index,SOC,Time_s,Temperature_C
0,23767,1.0,0,20
1,23768,0.987,900,20
2,23769,0.973,1800,20
3,23770,0.9590000000000001,2700,20
4,23771,0.9460000000000001,3600,20
5,23772,0.933,4500,20
6,23773,0.92,5400,20
7,23774,0.906,6300,20
8,23775,0.893,7200,20
9,23776,0.87,8100,20
10,23777,0.846,9000,20
11,23778,0.8230000000000001,9900,20
12,23779,0.8,10800,20
13,23780,0.777,11700,20
14,23781,0.756,12600,20
15,23782,0.733,13500,20
16,23783,0.712,14400,20
17,23784,0.6890000000000001,15300,20
18,23785,0.668,16200,20
19,23786,0.648,17100,20
20,23787,0.626,18000,20
21,23788,0.606,18900,20
22,23789,0.587,19800,20
23,23790,0.5680000000000001,20700,20
24,23791,0.548,21600,20
25,23792,0.529,22500,20
26,23793,0.511,23400,20
27,23794,0.492,24300,20
28,23795,0.47300000000000003,25200,20
29,23796,0.465,26100,20
30,23797,0.456,27000,20
31,23798,0.447,27900,20
32,23799,0.439,28800,20
33,23800,0.432,29700,20
34,23801,0.424,30600,20
35,23802,0.41600000000000004,31500,20
36,23803,0.40800000000000003,32400,20
37,23804,0.419,33300,20
38,23805,0.429,34200,20
39,23806,0.439,35100,20
40,23807,0.45,36000,20
41,23808,0.462,36900,20
42,23809,0.47400000000000003,37800,20
43,23810,0.487,38700,20
44,23811,0.5,39600,20
45,23812,0.513,40500,20
46,23813,0.526,41400,20
47,23814,0.539,42300,20
48,23815,0.553,43200,20
49,23816,0.5660000000000001,44100,20
50,23817,0.58,45000,20
51,23818,0.594,45900,20
52,23819,0.608,46800,20
53,23820,0.622,47700,20
54,23821,0.635,48600,20
55,23822,0.65,49500,20
56,23823,0.663,50400,20
57,23824,0.677,51300,20
58,23825,0.6910000000000001,52200,20
59,23826,0.705,53100,20
60,23827,0.719,54000,20
61,23828,0.731,54900,20
62,23829,0.743,55800,20
63,23830,0.754,56700,20
64,23831,0.766,57600,20
65,23832,0.777,58500,20
66,23833,0.788,59400,20
67,23834,0.799,60300,20
68,23835,0.809,61200,20
69,23836,0.8200000000000001,62100,20
70,23837,0.8290000000000001,63000,20
71,23838,0.839,63900,20
72,23839,0.848,64800,20
73,23840,0.858,65700,20
74,23841,0.867,66600,20
75,23842,0.874,67500,20
76,23843,0.881,68400,20
77,23844,0.888,69300,20
78,23845,0.894,70200,20
79,23846,0.901,71100,20
80,23847,0.907,72000,20
81,23848,0.914,72900,20
82,23849,0.919,73800,20
83,23850,0.925,74700,20
84,23851,0.931,75600,20
85,23852,0.936,76500,20
86,23853,0.9410000000000001,77400,20
87,23854,0.9470000000000001,78300,20
88,23855,0.9520000000000001,79200,20
89,23856,0.9580000000000001,80100,20
90,23857,0.962,81000,20
91,23858,0.967,81900,20
92,23859,0.972,82800,20
93,23860,0.977,83700,20
94,23861,0.981,84600,20
95,23862,0.986,85500,20
96,23863,0.99,86400,20
97,23864,0.976,87300,20
98,23865,0.962,88200,20
99,23866,0.9490000000000001,89100,20
100,23867,0.935,90000,20
101,23868,0.92,90900,20
102,23869,0.907,91800,20
103,23870,0.893,92700,20
104,23871,0.881,93600,20
105,23872,0.857,94500,20
106,23873,0.834,95400,20
107,23874,0.812,96300,20
108,23875,0.788,97200,20
109,23876,0.765,98100,20
110,23877,0.743,99000,20
111,23878,0.72,99900,20
112,23879,0.6980000000000001,100800,20
113,23880,0.675,101700,20
114,23881,0.653,102600,20
115,23882,0.631,103500,20
116,23883,0.61,104400,20
117,23884,0.589,105300,20
118,23885,0.5680000000000001,106200,20
119,23886,0.547,107100,20
120,23887,0.527,108000,20
121,23888,0.507,108900,20
122,23889,0.487,109800,20
123,23890,0.467,110700,20
124,23891,0.447,111600,20
125,23892,0.438,112500,20
126,23893,0.428,113400,20
127,23894,0.419,114300,20
128,23895,0.40900000000000003,115200,20
129,23896,0.4,116100,20
130,23897,0.39,117000,20
131,23898,0.379,117900,20
132,23899,0.37,118800,20
133,23900,0.379,119700,20
134,23901,0.388,120600,20
135,23902,0.396,121500,20
136,23903,0.406,122400,20
137,23904,0.417,123300,20
138,23905,0.429,124200,20
139,23906,0.441,125100,20
140,23907,0.454,126000,20
141,23908,0.467,126900,20
142,23909,0.47900000000000004,127800,20
143,23910,0.49,128700,20
144,23911,0.503,129600,20
145,23912,0.515,130500,20
146,23913,0.528,131400,20
