,SOC,Time_s,Temperature_C
0,0.6980000000000001,0,20
1,0.897,900,20
2,1.0,1800,20
3,1.0,2700,20
4,1.0,3600,20
5,1.0,4500,20
6,1.0,5400,20
7,1.0,6300,20
8,1.0,7200,20
9,1.0,8100,20
10,1.0,9000,20
11,1.0,9900,20
12,1.0,10800,20
13,1.0,11700,20
14,1.0,12600,20
15,1.0,13500,20
16,1.0,14400,20
17,1.0,15300,20
18,1.0,16200,20
19,1.0,17100,20
20,1.0,18000,20
21,1.0,18900,20
22,1.0,19800,20
23,1.0,20700,20
24,1.0,21600,20
25,1.0,22500,20
26,1.0,23400,20
27,1.0,24300,20
28,1.0,25200,20
29,1.0,26100,20
30,1.0,27000,20
31,1.0,27900,20
32,1.0,28800,20
33,1.0,29700,20
34,1.0,30600,20
35,1.0,31500,20
36,1.0,32400,20
37,1.0,33300,20
38,1.0,34200,20
39,1.0,35100,20
40,1.0,36000,20
41,1.0,36900,20
42,1.0,37800,20
43,1.0,38700,20
44,1.0,39600,20
45,1.0,40500,20
46,1.0,41400,20
47,1.0,42300,20
48,1.0,43200,20
49,1.0,44100,20
50,1.0,45000,20
51,1.0,45900,20
52,1.0,46800,20
53,1.0,47700,20
54,1.0,48600,20
55,1.0,49500,20
56,1.0,50400,20
57,1.0,51300,20
58,1.0,52200,20
59,1.0,53100,20
60,1.0,54000,20
61,1.0,54900,20
62,1.0,55800,20
63,1.0,56700,20
64,1.0,57600,20
65,1.0,58500,20
66,1.0,59400,20
67,1.0,60300,20
68,1.0,61200,20
69,1.0,62100,20
70,1.0,63000,20
71,1.0,63900,20
72,1.0,64800,20
73,1.0,65700,20
74,1.0,66600,20
75,1.0,67500,20
76,1.0,68400,20
77,1.0,69300,20
78,1.0,70200,20
79,1.0,71100,20
80,0.863,72000,20
81,0.642,72900,20
82,0.421,73800,20
83,0.2,74700,20
84,0.398,75600,20
85,0.597,76500,20
86,0.795,77400,20
87,0.994,78300,20
88,1.0,79200,20
89,1.0,80100,20
90,1.0,81000,20
91,1.0,81900,20
92,1.0,82800,20
93,1.0,83700,20
94,1.0,84600,20
