,Time_s,SOC,Temperature_C
0,0,0.0,20
1,600,0.0,20
2,1200,0.0,20
3,1800,0.0,20
4,2400,0.0,20
5,3000,0.0,20
6,3600,0.0,20
7,4200,0.0,20
8,4800,0.0,20
9,5400,0.0,20
10,6000,0.0,20
11,6600,0.0,20
12,7200,0.0,20
13,7800,0.0,20
14,8400,0.0,20
15,9000,0.0,20
16,9600,0.0,20
17,10200,0.0,20
18,10800,0.0,20
19,11400,0.0,20
20,12000,0.0,20
21,12600,0.0,20
22,13200,0.0,20
23,13800,0.0,20
24,14400,0.0,20
25,15000,0.0,20
26,15600,0.0,20
27,16200,0.0,20
28,16800,0.0,20
29,17400,0.0,20
30,18000,0.0,20
31,18600,0.0,20
32,19200,0.0,20
33,19800,0.0,20
34,20400,0.0,20
35,21000,0.0,20
36,21600,0.0,20
37,22200,0.0,20
38,22800,0.0,20
39,23400,0.0,20
40,24000,0.0,20
41,24600,0.0,20
42,25200,0.0,20
43,25800,0.0,20
44,26400,0.0,20
45,27000,0.0,20
46,27600,0.0,20
47,28200,0.0,20
48,28800,0.0,20
49,29400,0.0,20
50,30000,0.0,20
51,30600,0.0,20
52,31200,0.0,20
53,31800,0.001219948219563895,20
54,32400,0.0,20
55,33000,0.0,20
56,33600,0.0,20
57,34200,2.4972319677993127e-05,20
58,34800,0.002969044030417252,20
59,35400,0.007495457473802232,20
60,36000,0.018177854140541315,20
61,36600,0.026250435716141454,20
62,37200,0.026676828727385124,20
63,37800,0.009029099874851055,20
64,38400,3.469446951953614e-18,20
65,39000,0.009482105094425432,20
66,39600,0.04778537750412483,20
67,40200,0.08300952904152223,20
68,40800,0.09070469794197943,20
69,41400,0.11880237286249498,20
70,42000,0.18727474446039555,20
71,42600,0.23419235879974765,20
72,43200,0.24176989280268857,20
73,43800,0.25289172272034244,20
74,44400,0.27522335168721296,20
75,45000,0.3135852469272287,20
76,45600,0.35183440309707364,20
77,46200,0.3639807089766964,20
78,46800,0.37931127915017415,20
79,47400,0.378695184593789,20
80,48000,0.37956487674244477,20
81,48600,0.3801648686147232,20
82,49200,0.40334386586445,20
83,49800,0.41587258044227,20
84,50400,0.41676708084910613,20
85,51000,0.4350178999181547,20
86,51600,0.4384839010708277,20
87,52200,0.4345584416808174,20
88,52800,0.42522709446328877,20
89,53400,0.41986261372754285,20
90,54000,0.409778023408452,20
91,54600,0.3978807483475852,20
92,55200,0.383450995140434,20
93,55800,0.36808803272567603,20
94,56400,0.3408795432504914,20
95,57000,0.29024878860706416,20
96,57600,0.2517493798731165,20
97,58200,0.23426103025109754,20
98,58800,0.18957439793359823,20
99,59400,0.15079684740544252,20
100,60000,0.1216146591832704,20
101,60600,0.08462262813978064,20
102,61200,0.04830006105037268,20
103,61800,0.015762019525229244,20
104,62400,3.5735303605122226e-16,20
105,63000,3.5735303605122226e-16,20
106,63600,3.5735303605122226e-16,20
107,64200,3.5735303605122226e-16,20
108,64800,3.5735303605122226e-16,20
109,65400,3.5735303605122226e-16,20
110,66000,3.5735303605122226e-16,20
111,66600,3.5735303605122226e-16,20
112,67200,3.5735303605122226e-16,20
113,67800,3.5735303605122226e-16,20
114,68400,3.5735303605122226e-16,20
115,69000,3.5735303605122226e-16,20
116,69600,3.5735303605122226e-16,20
117,70200,3.5735303605122226e-16,20
118,70800,3.5735303605122226e-16,20
119,71400,3.5735303605122226e-16,20
120,72000,3.5735303605122226e-16,20
121,72600,3.5735303605122226e-16,20
122,73200,3.5735303605122226e-16,20
123,73800,3.5735303605122226e-16,20
124,74400,3.5735303605122226e-16,20
125,75000,3.5735303605122226e-16,20
126,75600,3.5735303605122226e-16,20
127,76200,3.5735303605122226e-16,20
128,76800,3.5735303605122226e-16,20
129,77400,3.5735303605122226e-16,20
130,78000,3.5735303605122226e-16,20
131,78600,3.5735303605122226e-16,20
132,79200,3.5735303605122226e-16,20
133,79800,3.5735303605122226e-16,20
134,80400,3.5735303605122226e-16,20
135,81000,3.5735303605122226e-16,20
136,81600,3.5735303605122226e-16,20
137,82200,3.5735303605122226e-16,20
138,82800,3.5735303605122226e-16,20
139,83400,3.5735303605122226e-16,20
140,84000,3.5735303605122226e-16,20
141,84600,3.5735303605122226e-16,20
142,85200,3.5735303605122226e-16,20
143,85800,3.5735303605122226e-16,20
144,86400,3.5735303605122226e-16,20
145,87000,3.5735303605122226e-16,20
146,87600,3.5735303605122226e-16,20
147,88200,3.5735303605122226e-16,20
148,88800,3.5735303605122226e-16,20
149,89400,3.5735303605122226e-16,20
150,90000,3.5735303605122226e-16,20
151,90600,3.5735303605122226e-16,20
152,91200,3.5735303605122226e-16,20
153,91800,3.5735303605122226e-16,20
154,92400,3.5735303605122226e-16,20
155,93000,3.5735303605122226e-16,20
156,93600,3.5735303605122226e-16,20
157,94200,3.5735303605122226e-16,20
158,94800,3.5735303605122226e-16,20
159,95400,3.5735303605122226e-16,20
160,96000,3.5735303605122226e-16,20
161,96600,3.5735303605122226e-16,20
162,97200,3.5735303605122226e-16,20
163,97800,3.5735303605122226e-16,20
164,98400,3.5735303605122226e-16,20
165,99000,3.5735303605122226e-16,20
166,99600,3.5735303605122226e-16,20
167,100200,3.5735303605122226e-16,20
168,100800,3.5735303605122226e-16,20
169,101400,3.5735303605122226e-16,20
170,102000,3.5735303605122226e-16,20
171,102600,3.5735303605122226e-16,20
172,103200,3.5735303605122226e-16,20
173,103800,3.5735303605122226e-16,20
174,104400,3.5735303605122226e-16,20
175,105000,3.5735303605122226e-16,20
176,105600,3.5735303605122226e-16,20
177,106200,3.5735303605122226e-16,20
178,106800,3.5735303605122226e-16,20
179,107400,3.5735303605122226e-16,20
180,108000,3.5735303605122226e-16,20
181,108600,3.5735303605122226e-16,20
182,109200,3.5735303605122226e-16,20
183,109800,3.5735303605122226e-16,20
184,110400,3.5735303605122226e-16,20
185,111000,3.5735303605122226e-16,20
186,111600,3.5735303605122226e-16,20
187,112200,3.5735303605122226e-16,20
188,112800,3.5735303605122226e-16,20
189,113400,3.5735303605122226e-16,20
190,114000,3.5735303605122226e-16,20
191,114600,3.5735303605122226e-16,20
192,115200,3.5735303605122226e-16,20
193,115800,3.5735303605122226e-16,20
194,116400,3.5735303605122226e-16,20
195,117000,3.5735303605122226e-16,20
196,117600,3.5735303605122226e-16,20
197,118200,3.5735303605122226e-16,20
198,118800,3.5735303605122226e-16,20
199,119400,3.5735303605122226e-16,20
200,120000,3.5735303605122226e-16,20
201,120600,3.5735303605122226e-16,20
202,121200,3.5735303605122226e-16,20
203,121800,3.5735303605122226e-16,20
204,122400,3.5735303605122226e-16,20
205,123000,3.5735303605122226e-16,20
206,123600,3.5735303605122226e-16,20
207,124200,3.5735303605122226e-16,20
208,124800,3.5735303605122226e-16,20
209,125400,3.5735303605122226e-16,20
210,126000,3.5735303605122226e-16,20
211,126600,3.5735303605122226e-16,20
212,127200,0.0006183826132727682,20
213,127800,0.002970729975926726,20
214,128400,0.0028943599147168695,20
215,129000,3.5691935518222806e-16,20
216,129600,3.5691935518222806e-16,20
217,130200,3.5691935518222806e-16,20
218,130800,3.5691935518222806e-16,20
219,131400,3.5691935518222806e-16,20
220,132000,3.5691935518222806e-16,20
221,132600,3.5691935518222806e-16,20
222,133200,3.5691935518222806e-16,20
223,133800,3.5691935518222806e-16,20
224,134400,3.5691935518222806e-16,20
225,135000,3.5691935518222806e-16,20
226,135600,3.5691935518222806e-16,20
227,136200,3.5691935518222806e-16,20
228,136800,3.5691935518222806e-16,20
229,137400,3.5691935518222806e-16,20
230,138000,3.5691935518222806e-16,20
231,138600,3.5691935518222806e-16,20
232,139200,3.5691935518222806e-16,20
233,139800,3.5691935518222806e-16,20
234,140400,3.5691935518222806e-16,20
235,141000,3.5691935518222806e-16,20
236,141600,3.5691935518222806e-16,20
237,142200,3.5691935518222806e-16,20
238,142800,3.5691935518222806e-16,20
239,143400,3.5691935518222806e-16,20
240,144000,3.5691935518222806e-16,20
241,144600,3.5691935518222806e-16,20
242,145200,3.5691935518222806e-16,20
243,145800,3.5691935518222806e-16,20
244,146400,3.5691935518222806e-16,20
245,147000,3.5691935518222806e-16,20
246,147600,3.5691935518222806e-16,20
247,148200,3.5691935518222806e-16,20
248,148800,3.5691935518222806e-16,20
249,149400,3.5691935518222806e-16,20
250,150000,3.5691935518222806e-16,20
251,150600,3.5691935518222806e-16,20
