,Time_s,Temperature_C
0,0.0,24.5
1,1800.0,24.5
2,3600.0,24.5
3,5400.0,24.5
4,7200.0,24.5
5,9000.0,24.4
6,10800.0,24.3
7,12600.0,24.1
8,14400.0,23.9
9,16200.0,23.9
10,18000.0,23.8
11,19800.0,23.7
12,21600.0,23.7
13,23400.0,23.6
14,25200.0,23.6
15,27000.0,23.5
16,28800.0,23.5
17,30600.0,23.5
18,32400.0,23.4
19,34200.0,23.4
20,36000.0,23.5
21,37800.0,23.4
22,39600.0,23.4
23,41400.0,23.4
24,43200.0,23.4
25,45000.0,23.4
26,46800.0,23.4
27,48600.0,23.5
28,50400.0,23.5
29,52200.0,23.5
30,54000.0,23.5
31,55800.0,23.6
32,57600.0,23.6
33,59400.0,23.7
34,61200.0,23.8
35,63000.0,24.0
36,64800.0,24.2
37,66600.0,24.3
38,68400.0,24.4
39,70200.0,24.5
40,72000.0,24.6
41,73800.0,24.7
42,75600.0,24.8
43,77400.0,24.9
44,79200.0,25.0
45,81000.0,25.1
46,82800.0,25.2
47,84600.0,25.2
48,86400.0,25.3
49,88200.0,25.4
50,90000.0,25.4
51,91800.0,25.4
52,93600.0,25.4
53,95400.0,25.3
54,97200.0,25.2
55,99000.0,25.0
56,100800.0,24.9
57,102600.0,24.8
58,104400.0,24.7
59,106200.0,24.6
60,108000.0,24.6
61,109800.0,24.5
62,111600.0,24.4
63,113400.0,24.3
64,115200.0,24.2
65,117000.0,24.1
66,118800.0,24.1
67,120600.0,24.0
68,122400.0,24.0
69,124200.0,23.9
70,126000.0,23.9
71,127800.0,23.8
72,129600.0,23.8
73,131400.0,23.7
74,133200.0,23.7
75,135000.0,23.7
76,136800.0,23.6
77,138600.0,23.6
78,140400.0,23.6
79,142200.0,23.6
80,144000.0,23.6
81,145800.0,23.7
82,147600.0,23.8
83,149400.0,24.0
84,151200.0,24.2
85,153000.0,24.3
86,154800.0,24.4
87,156600.0,24.5
88,158400.0,24.6
89,160200.0,24.7
90,162000.0,24.7
91,163800.0,24.8
92,165600.0,24.9
93,167400.0,24.9
94,169200.0,24.9
95,171000.0,24.9
96,172800.0,24.9
97,174600.0,24.9
98,176400.0,24.9
99,178200.0,24.8
100,180000.0,24.7
101,181800.0,24.6
102,183600.0,24.4
103,185400.0,24.2
104,187200.0,24.0
105,189000.0,24.0
106,190800.0,24.0
107,192600.0,24.0
108,194400.0,23.9
109,196200.0,23.8
110,198000.0,23.7
111,199800.0,23.6
112,201600.0,23.6
113,203400.0,23.6
114,205200.0,23.6
115,207000.0,23.6
116,208800.0,23.6
117,210600.0,23.5
118,212400.0,23.5
119,214200.0,23.5
120,216000.0,23.4
121,217800.0,23.4
122,219600.0,23.4
123,221400.0,23.3
124,223200.0,23.3
125,225000.0,23.2
126,226800.0,23.2
127,228600.0,23.2
128,230400.0,23.2
129,232200.0,23.3
130,234000.0,23.4
131,235800.0,23.6
132,237600.0,23.8
133,239400.0,23.9
134,241200.0,23.9
135,243000.0,24.0
136,244800.0,24.1
137,246600.0,24.3
138,248400.0,24.4
139,250200.0,24.5
140,252000.0,24.6
141,253800.0,24.6
142,255600.0,24.7
143,257400.0,24.7
144,259200.0,24.7
145,261000.0,24.6
146,262800.0,24.6
147,264600.0,24.5
148,266400.0,24.4
149,268200.0,24.3
150,270000.0,24.1
151,271800.0,24.0
152,273600.0,23.8
153,275400.0,23.7
154,277200.0,23.6
155,279000.0,23.6
156,280800.0,23.6
157,282600.0,23.5
158,284400.0,23.5
159,286200.0,23.5
160,288000.0,23.5
161,289800.0,23.5
162,291600.0,23.5
163,293400.0,23.5
164,295200.0,23.5
165,297000.0,23.5
166,298800.0,23.5
167,300600.0,23.5
168,302400.0,23.5
169,304200.0,23.5
170,306000.0,23.4
171,307800.0,23.4
172,309600.0,23.4
173,311400.0,23.4
174,313200.0,23.5
175,315000.0,23.5
176,316800.0,23.6
177,318600.0,23.6
178,320400.0,23.7
179,322200.0,23.9
180,324000.0,24.1
181,325800.0,24.2
182,327600.0,24.4
183,329400.0,24.4
184,331200.0,24.5
185,333000.0,24.6
186,334800.0,24.6
187,336600.0,24.7
188,338400.0,24.7
189,340200.0,24.8
190,342000.0,24.8
191,343800.0,24.8
192,345600.0,24.9
193,347400.0,24.9
194,349200.0,24.9
195,351000.0,24.9
196,352800.0,24.9
197,354600.0,24.8
198,356400.0,24.7
199,358200.0,24.5
200,360000.0,24.4
201,361800.0,24.3
202,363600.0,24.3
203,365400.0,24.2
204,367200.0,24.1
205,369000.0,24.1
206,370800.0,24.0
207,372600.0,24.0
208,374400.0,23.9
209,376200.0,23.8
210,378000.0,23.7
211,379800.0,23.6
212,381600.0,23.5
213,383400.0,23.4
214,385200.0,23.3
215,387000.0,23.2
216,388800.0,23.1
217,390600.0,23.0
218,392400.0,23.0
219,394200.0,23.0
220,396000.0,22.9
221,397800.0,22.9
222,399600.0,22.9
223,401400.0,22.9
224,403200.0,22.9
225,405000.0,23.0
226,406800.0,23.1
227,408600.0,23.3
228,410400.0,23.5
229,412200.0,23.6
230,414000.0,23.7
231,415800.0,23.9
232,417600.0,24.0
233,419400.0,24.1
234,421200.0,24.3
235,423000.0,24.4
236,424800.0,24.5
237,426600.0,24.6
238,428400.0,24.7
239,430200.0,24.7
240,432000.0,24.8
241,433800.0,24.9
242,435600.0,24.9
243,437400.0,24.9
244,439200.0,24.9
245,441000.0,24.8
246,442800.0,24.7
247,444600.0,24.5
248,446400.0,24.3
249,448200.0,24.2
250,450000.0,24.2
251,451800.0,24.1
252,453600.0,24.1
253,455400.0,24.0
254,457200.0,23.9
255,459000.0,23.9
256,460800.0,23.8
257,462600.0,23.8
258,464400.0,23.7
259,466200.0,23.7
260,468000.0,23.7
261,469800.0,23.7
262,471600.0,23.7
263,473400.0,23.8
264,475200.0,23.8
265,477000.0,23.8
266,478800.0,23.8
267,480600.0,23.8
268,482400.0,23.8
269,484200.0,23.8
270,486000.0,23.7
271,487800.0,23.7
272,489600.0,23.7
273,491400.0,23.7
274,493200.0,23.7
275,495000.0,23.9
276,496800.0,24.0
277,498600.0,24.1
278,500400.0,24.2
279,502200.0,24.3
280,504000.0,24.4
281,505800.0,24.5
282,507600.0,24.6
283,509400.0,24.7
284,511200.0,24.8
285,513000.0,24.8
286,514800.0,24.9
287,516600.0,24.9
288,518400.0,25.0
289,520200.0,25.0
290,522000.0,25.0
291,523800.0,25.0
292,525600.0,24.9
293,527400.0,24.8
294,529200.0,24.7
295,531000.0,24.6
296,532800.0,24.4
297,534600.0,24.4
298,536400.0,24.3
299,538200.0,24.2
300,540000.0,24.1
301,541800.0,24.1
302,543600.0,24.0
303,545400.0,24.0
304,547200.0,23.9
305,549000.0,23.9
306,550800.0,23.9
307,552600.0,23.9
308,554400.0,23.8
309,556200.0,23.8
310,558000.0,23.7
311,559800.0,23.7
312,561600.0,23.7
313,563400.0,23.7
314,565200.0,23.7
315,567000.0,23.7
316,568800.0,23.8
317,570600.0,23.8
318,572400.0,23.8
319,574200.0,23.8
320,576000.0,23.8
321,577800.0,23.8
322,579600.0,23.9
323,581400.0,24.0
324,583200.0,24.2
325,585000.0,24.3
326,586800.0,24.5
327,588600.0,24.6
328,590400.0,24.7
329,592200.0,24.8
330,594000.0,24.9
331,595800.0,25.0
332,597600.0,25.0
333,599400.0,25.0
334,601200.0,25.1
335,603000.0,25.1
336,604800.0,25.1
337,606600.0,25.0
338,608400.0,25.0
339,610200.0,24.9
340,612000.0,24.8
341,613800.0,24.7
342,615600.0,24.5
343,617400.0,24.4
344,619200.0,24.3
345,621000.0,24.2
346,622800.0,24.2
347,624600.0,24.1
348,626400.0,24.1
349,628200.0,24.0
350,630000.0,24.0
351,631800.0,23.9
352,633600.0,23.9
353,635400.0,23.8
354,637200.0,23.8
355,639000.0,23.8
356,640800.0,23.8
357,642600.0,23.7
358,644400.0,23.7
359,646200.0,23.7
360,648000.0,23.6
361,649800.0,23.6
362,651600.0,23.6
363,653400.0,23.6
364,655200.0,23.6
365,657000.0,23.6
366,658800.0,23.6
367,660600.0,23.6
368,662400.0,23.6
369,664200.0,23.7
370,666000.0,23.8
371,667800.0,24.0
372,669600.0,24.2
373,671400.0,24.3
374,673200.0,24.4
375,675000.0,24.4
376,676800.0,24.5
377,678600.0,24.6
378,680400.0,24.7
379,682200.0,24.8
380,684000.0,24.9
381,685800.0,25.0
382,687600.0,25.0
383,689400.0,25.0
384,691200.0,25.2
385,693000.0,25.2
386,694800.0,25.3
387,696600.0,25.3
388,698400.0,25.3
389,700200.0,25.2
390,702000.0,25.1
391,703800.0,24.9
392,705600.0,24.8
393,707400.0,24.7
394,709200.0,24.6
395,711000.0,24.5
396,712800.0,24.4
397,714600.0,24.4
398,716400.0,24.3
399,718200.0,24.3
400,720000.0,24.2
401,721800.0,24.2
402,723600.0,24.1
403,725400.0,24.1
404,727200.0,24.0
405,729000.0,24.0
406,730800.0,24.0
407,732600.0,24.0
408,734400.0,24.0
409,736200.0,24.0
410,738000.0,23.9
411,739800.0,23.9
412,741600.0,23.9
413,743400.0,24.0
414,745200.0,24.0
415,747000.0,24.0
416,748800.0,24.1
417,750600.0,24.2
418,752400.0,24.3
419,754200.0,24.5
420,756000.0,24.7
421,757800.0,24.9
422,759600.0,25.0
423,761400.0,25.1
424,763200.0,25.3
425,765000.0,25.4
426,766800.0,25.5
427,768600.0,25.5
428,770400.0,25.6
429,772200.0,25.7
430,774000.0,25.8
431,775800.0,25.8
432,777600.0,25.9
433,779400.0,25.9
434,781200.0,25.9
435,783000.0,25.9
436,784800.0,25.9
437,786600.0,25.8
438,788400.0,25.7
439,790200.0,25.5
440,792000.0,25.4
441,793800.0,25.3
442,795600.0,25.2
443,797400.0,25.1
