Annual VMT,CDF
0,0
4785,0.064443113
6873,0.090695983
7780,0.157013097
8206,0.184551687
10304,0.338775347
11464,0.399916276
12004,0.453438426
15859,0.574161956
17976,0.758899729
18858,1
