,Unnamed: 0,Time_s,SOC
0,0,0,0.95
1,300,300,0.949294898
2,600,600,0.948589797
3,900,900,0.947884695
4,1200,1200,0.947179594
5,1500,1500,0.946474492
6,1800,1800,0.945769391
7,2100,2100,0.945064289
8,2400,2400,0.944359188
9,2700,2700,0.943654086
10,3000,3000,0.942948985
11,3300,3300,0.942243883
12,3600,3600,0.941538782
13,3900,3900,0.922766824
14,4200,4200,0.91729918
15,4500,4500,0.909309872
16,4800,4800,0.90423046
17,5100,5100,0.898087093
18,5400,5400,0.881809093
19,5700,5700,0.875417763
20,6000,6000,0.866936133
21,6300,6300,0.861656237
22,6600,6600,0.845549998
23,6900,6900,0.838090544
24,7200,7200,0.829851051
25,7500,7500,0.824278399
26,7800,7800,0.817383939
27,8100,8100,0.801654101
28,8400,8400,0.795671214
29,8700,8700,0.786536067
30,9000,9000,0.780965269
31,9300,9300,0.770289016
32,9600,9600,0.758068581
33,9900,9900,0.750345008
34,10200,10200,0.743799267
35,10500,10500,0.738706214
36,10800,10800,0.72335044
37,11100,11100,0.715732163
38,11400,11400,0.70711127
39,11700,11700,0.702073951
40,12000,12000,0.695186454
41,12300,12300,0.677135732
42,12600,12600,0.671653165
43,12900,12900,0.664270028
44,13200,13200,0.659647089
45,13500,13500,0.641577155
46,13800,13800,0.634790171
47,14100,14100,0.627280034
48,14400,14400,0.621901837
49,14700,14700,0.6161954
50,15000,15000,0.5999174
51,15300,15300,0.592345127
52,15600,15600,0.58504444
53,15900,15900,0.579641876
54,16200,16200,0.563105981
55,16500,16500,0.556116896
56,16800,16800,0.547997583
57,17100,17100,0.542331016
58,17400,17400,0.535200863
59,17700,17700,0.520239481
60,18000,18000,0.513431357
61,18300,18300,0.504285536
62,18600,18600,0.498474836
63,18900,18900,0.486510104
64,19200,19200,0.475353406
65,19500,19500,0.468327107
66,19800,19800,0.461421204
67,20100,20100,0.456448746
68,20400,20400,0.439846705
69,20700,20700,0.432814974
70,21000,21000,0.425683321
71,21300,21300,0.420125038
72,21600,21600,0.413432077
73,21900,21900,0.394886559
74,22200,22200,0.389390898
75,22500,22500,0.382646873
76,22800,22800,0.377755396
77,23100,23100,0.360375204
78,23400,23400,0.353694359
79,23700,23700,0.345368561
80,24000,24000,0.33945547
81,24300,24300,0.334303708
82,24600,24600,0.317844516
83,24900,24900,0.309943833
84,25200,25200,0.303152747
85,25500,25500,0.296883629
86,25800,25800,0.279439154
