t_hours,T_degC
0,19.4
1,18.9
2,18.9
3,18.9
4,19.4
5,18.9
6,18.9
7,19.4
8,22.8
9,25
10,26.7
11,26.1
12,27.2
13,26.1
14,26.1
15,25.6
16,25
17,23.9
18,23.3
19,22.8
20,22.8
21,23.3
22,22.2
23,20.6
24,20
25,19.4
26,18.9
27,18.9
28,18.3
29,19.4
30,18.9
31,20
32,20.6
33,24.4
34,26.1
35,27.2
36,27.2
37,28.9
38,28.9
39,25.6
40,25
41,23.9
42,23.3
43,22.2
44,22.2
45,22.2
46,20.6
47,20
48,20
49,20
50,20
51,20
52,20
53,20
54,20
55,20.6
56,23.3
57,25
58,26.1
59,26.1
60,26.1
61,26.7
62,26.7
63,26.7
64,25
65,23.9
66,23.3
67,22.8
68,22.8
69,22.2
70,21.7
71,20.6
72,20.6
73,20
74,20
75,20.6
76,20.6
77,19.4
78,19.4
79,20
80,21.7
81,23.3
82,24.4
83,25.6
84,25.6
85,25.6
86,25
87,23.9
88,22.2
89,20.6
90,18.9
91,18.3
92,18.3
93,18.9
94,18.9
95,18.9
96,18.9
97,17.8
98,17.8
99,17.2
100,16.7
101,16.7
102,16.7
103,16.7
104,17.2
105,19.4
106,20.6
107,22.8
108,22.8
109,23.9
110,22.8
111,22.2
112,22.2
113,21.7
114,22.2
115,22.2
116,22.2
117,21.7
118,21.7
119,21.7
120,21.7
121,21.7
122,21.7
123,22.2
124,22.2
125,22.8
126,22.8
127,23.3
128,23.9
129,25
130,25.6
131,25.6
132,25.6
133,26.7
134,26.1
135,26.1
136,25
137,24.4
138,24.4
139,24.4
140,24.4
141,24.4
142,23.9
143,24.4
144,23.9
145,23.9
146,21.7
147,22.2
148,22.2
149,22.8
150,22.8
151,22.8
152,23.9
153,25.6
154,26.7
155,27.8
156,28.3
157,27.8
158,27.8
159,20
160,20
161,20.6
162,21.1
163,21.1
164,21.1
165,21.7
166,20.6
167,21.1
168,20.6
169,18.9
170,17.8
171,17.2
172,17.2
173,16.1
174,15.6
175,15.6
176,16.7
177,17.2
178,17.8
179,18.9
180,19.4
181,20.6
182,21.1
183,21.1
184,20
185,17.8
186,17.2
187,16.7
188,15.6
189,15
190,13.9
191,13.9
192,13.9
193,13.3
194,13.3
195,13.3
196,12.8
197,11.7
198,12.2
199,13.3
200,15
201,16.7
202,18.3
203,20
204,21.1
205,21.1
206,21.1
207,21.7
208,20.6
209,18.9
210,17.8
211,16.7
212,15.6
213,15
214,14.4
215,14.4
216,13.9
217,13.3
218,13.3
219,13.3
220,13.3
221,12.8
222,12.8
223,14.4
224,16.7
225,18.3
226,20.6
227,22.2
228,22.8
229,22.2
230,22.2
231,22.8
232,21.7
233,21.1
234,20
235,20
236,18.9
237,17.8
238,16.7
239,16.1
240,15.6
241,15
242,15
243,14.4
244,14.4
245,14.4
246,14.4
247,15.6
248,18.9
249,21.7
250,23.9
251,23.9
252,22.8
253,23.9
254,22.8
255,22.8
256,22.2
257,22.2
258,21.7
259,20.6
260,20.6
261,21.1
262,20.6
263,17.8
264,17.2
265,16.1
266,16.1
267,17.2
268,16.7
269,16.1
270,16.7
271,19.4
272,22.8
273,23.9
274,24.4
275,26.1
276,25.6
