,Time_s,SOC
0,0,0.95
1,300,0.949294898
2,600,0.948589797
3,900,0.947884695
4,1200,0.947179594
5,1500,0.946474492
6,1800,0.945769391
7,2100,0.945064289
8,2400,0.944359188
9,2700,0.943654086
10,3000,0.942948985
11,3300,0.942243883
12,3600,0.941538782
13,3900,0.94083368
14,4200,0.940128579
15,4500,0.939423477
16,4800,0.938718376
17,5100,0.938013274
18,5400,0.937308173
19,5700,0.936603071
20,6000,0.93589797
21,6300,0.935192868
22,6600,0.934487767
23,6900,0.933782665
24,7200,0.933077564
25,7500,0.932372462
26,7800,0.931667361
27,8100,0.930962259
28,8400,0.930257158
29,8700,0.929552056
30,9000,0.928846955
31,9300,0.928141853
32,9600,0.927436752
33,9900,0.92673165
34,10200,0.926026549
35,10500,0.925321447
36,10800,0.924616346
37,11100,0.923911244
38,11400,0.923206143
39,11700,0.922501041
40,12000,0.92179594
41,12300,0.921090838
42,12600,0.920385737
43,12900,0.919680635
44,13200,0.918975534
45,13500,0.918270432
46,13800,0.917565331
47,14100,0.916860229
48,14400,0.916155128
49,14700,0.915450026
50,15000,0.914744925
51,15300,0.914039823
52,15600,0.913334722
53,15900,0.91262962
54,16200,0.911924519
55,16500,0.911219417
56,16800,0.910514316
57,17100,0.909809214
58,17400,0.909104113
59,17700,0.908399011
60,18000,0.90769391
61,18300,0.906988808
62,18600,0.906283707
63,18900,0.905578605
64,19200,0.904873504
65,19500,0.904168402
66,19800,0.903463301
67,20100,0.902758199
68,20400,0.902053098
69,20700,0.901347996
70,21000,0.900642895
71,21300,0.899937793
72,21600,0.899232692
73,21900,0.880460734
74,22200,0.87499309
75,22500,0.867003782
76,22800,0.86192437
77,23100,0.855781003
78,23400,0.839503003
79,23700,0.833111673
80,24000,0.824630043
81,24300,0.819350147
82,24600,0.818087835
83,24900,0.817382734
84,25200,0.816677632
85,25500,0.815972531
86,25800,0.815267429
87,26100,0.814562328
88,26400,0.813857226
89,26700,0.813152125
90,27000,0.812447023
91,27300,0.811741922
92,27600,0.81103682
93,27900,0.810331719
94,28200,0.809626617
95,28500,0.808921516
96,28800,0.808216414
97,29100,0.807511313
98,29400,0.806806211
99,29700,0.80610111
100,30000,0.805396008
101,30300,0.804690907
102,30600,0.803985805
103,30900,0.803280704
104,31200,0.802575602
105,31500,0.801870501
106,31800,0.801165399
107,32100,0.800460298
108,32400,0.799755196
109,32700,0.799050095
110,33000,0.798344993
111,33300,0.797639892
112,33600,0.79693479
113,33900,0.796229689
114,34200,0.795524587
115,34500,0.794819486
116,34800,0.794114384
117,35100,0.793409283
118,35400,0.792704181
119,35700,0.79199908
120,36000,0.791293978
121,36300,0.790588877
122,36600,0.789883775
123,36900,0.789178674
124,37200,0.788473572
125,37500,0.787768471
