Annual VMT,CDF
0,0
4785,0.064443113
"6,873",0.090695983
7780,0.157013097
"8,206",0.184551687
"10,304",0.338775347
11464,0.399916276
12004,0.453438426
"15,859",0.574161956
"17,976",0.758899729
"18,858",1
